['Nome', 'Partido', 'Número']
['Giovani Falcone', 'PRTB', 2878]
['Gisele Aranha', 'Novo', 3038]
['Gisele Pontes', 'DC', 2777]
['Glauce Lima', 'PDT', 1297]
['Gláucia', 'PP', 1175]
['Gláucia Assunção', 'PMN', 3348]
['Glaucia Berenice', 'Republicanos', 1012]
['Glaucia Maximo', 'Patriota', 5145]
['Goulart', 'União', 4480]
['Gran Nego', 'PROS', 9086]
['Gualter Amado', 'Republicanos', 1040]
['Guedes Bombeiro', 'PROS', 9093]
['Guerra', 'Solidariedade', 7745]
['Guerreiro', 'Patriota', 5169]
['Guiga Peixoto', 'PSC', 2022]
['Guilherme Boulos', 'PSOL', 5010]
['Guilherme Bunger', 'PTB', 1456]
['Guilherme Campos', 'PSD', 5555]
['Guilherme Dall Orto', 'Podemos', 1987]
['Guilherme Gomes', 'PSDB', 4505]
['Guilherme Piai', 'Republicanos', 1018]
['Guilherme Prado', 'PSOL', 5055]
['Gusson', 'PMN', 3307]
['Gustavo Piccolo', 'PDT', 1231]
['Habacuque', 'PTB', 1418]
['Hamilton Bernardes', 'União', 4446]
['Harold Thau', 'PSDB', 4599]
['Haroldo Louzada', 'Patriota', 5141]
['Heitor Alves', 'PDT', 1233]
['Hélcio', 'Novo', 3002]
['Helio Nishimoto', 'MDB', 1567]
['Helio Ribeiro', 'Republicanos', 1002]
['Hélio Teles', 'PMN', 3311]
['Helo da Empatia', 'Solidariedade', 7792]
['Heloiza Ravasq', 'PMN', 3340]
['Helton Michael', 'PMN', 3378]
['Henri Dias', 'Solidariedade', 7738]
['Henri Esses', 'PV', 4318]
['Henrique do Paraiso', 'Republicanos', 1023]
['Henrique Parra do Cardume', 'PSOL', 5012]
['Heredia', 'PTB', 1472]
['Hernani Leonhardt', 'MDB', 1588]
['Hilario Ruiz', 'PSB', 4010]
['Hosana Silva', 'PP', 1137]
['Hugo Paiva', 'PTB', 1464]
['Humberto Jantim', 'Novo', 3010]
['Iara Bernardi Coletiva Elas', 'PT', 1310]
['Iara Gusmão', 'Avante', 7008]
['Ielo', 'PDT', 1230]
['Igor Coimbra Manhani', 'PP', 1129]
['Ilda Reis', 'Podemos', 1976]
['Instrutor Dr. Mario Viggiani', 'PRTB', 2838]
['Iolanda Ruas', 'PSD', 5558]
['Iracilda Col. Povos Indigenas', 'PSB', 4019]
['Irmã Cida', 'Patriota', 5124]
['Irmã Maria', 'PSC', 2075]
['Isa Penna', 'PC do B', 6500]
['Isaac Antunes', 'PL', 2258]
['Isabel Bernardes', 'Rede', 1882]
['Isaías Oliveira', 'PSB', 4033]
['Isis Mustafa', 'UP', 8000]
['Italo Lorenzon', 'PTB', 1469]
['Ivan Lima', 'PSDB', 4520]
['Ivan Sartori', 'Avante', 7007]
['Ivan Serigato', 'Podemos', 1917]
['Ivan Valente', 'PSOL', 5050]
['Ivanda R Costa', 'PMN', 3313]
['Ivanildo Santos', 'Republicanos', 1060]
['Izadora Dias', 'PCO', 2959]
['Jacaré de Tanga', 'PROS', 9064]
['Jackson Villar', 'Republicanos', 1091]
['Jacque Chanel', 'PT', 1384]
['Jacqueline Copque', 'PSB', 4026]
['Jair Balada', 'Podemos', 1923]
['Jair Gomes', 'PTB', 1475]
['Jamaica', 'PP', 1140]
['Janaina Bucker Riedo', 'PRTB', 2866]
['Janaina Calvo', 'Novo', 3019]
['Janaína da Bancada Ecossistema', 'PT', 1330]
['Janaína Lima', 'MDB', 1560]
['Janaina Soares', 'PROS', 9040]
['Jango', 'PSB', 4093]
['Janieire Silva', 'Novo', 3018]
['Japa', 'União', 4454]
['Jaque Petrovik', 'União', 4424]
['Jarbas de Moraes', 'Novo', 3069]
['JB Oliveira Repórter do Povo', 'Podemos', 1986]
['Jean Barbosa', 'PMN', 3351]
['Jefferson Cabral', 'PSB', 4038]
['Jefferson Campos', 'PL', 2274]
['Jeffinho do Vale', 'União', 4484]
['Jennifer Lopes', 'AGIR', 3681]
['Jerri Maximo JD', 'PSC', 2049]
['Jerusa Silva', 'Rede', 1808]
['Jessica Pascoal', 'PRTB', 2824]
['Jéssica Somer', 'PSC', 2068]
['Jessica Vilocania', 'Patriota', 5115]
['Jilmar Tatto', 'PT', 1380]
['Jô', 'PSC', 2035]
['Jó Rodrigues', 'PROS', 9097]
['João Barzel', 'DC', 2707]
['João Cury', 'MDB', 1550]
['João Dado', 'PL', 2260]
['João Garcia', 'PMN', 3333]
['João Jorge', 'PCO', 2929]
['João Luiz Feitosa', 'MDB', 1572]
['João Paulo Rillo', 'PSOL', 5078]
['João Pedro da Paz', 'Rede', 1850]
['João Sparano', 'PROS', 9056]
['Joãozinho', 'DC', 2764]
['Joca Maluly Neto', 'Podemos', 1988]
['Joel Antonio de Mello', 'PTB', 1409]
['Joel da Ambulância Platibanda', 'Avante', 7030]
['Joelson', 'PROS', 9047]
['Joice Hasselmann', 'PSDB', 4555]
['Jonas de Castro Cidade Ademar', 'PMB', 3533]
['Jonas Donizette', 'PSB', 4000]
['Jonas Machado', 'AGIR', 3621]
['Jonatan das ONGs', 'Republicanos', 1033]
['Jonathan Recht', 'Republicanos', 1029]
['Jones Silva', 'PL', 2200]
['Jorge Batista', 'Solidariedade', 7732]
['Jorge Corrêa', 'PSD', 5582]
['Jorge Guerreiro', 'Avante', 7071]
['Jorge Matos', 'PMN', 3310]
['Jorge Moura', 'PT', 1316]
['Jorjão do Barretos', 'PDT', 1266]
['Jornalista Francis', 'PMB', 3599]
['Jornalista Walter Brito', 'PROS', 9033]
['Jornalista Wellington Macedo', 'PTB', 1442]
['José Alfredo Garcia', 'PRTB', 2893]
['José Américo', 'PT', 1360]
['José Aníbal', 'PSDB', 586]
['José Bittencourt', 'Avante', 7077]
['José do Egito', 'PMN', 3374]
['José Lemes Soares', 'Podemos', 1959]
['José Serra', 'PSDB', 4545]
['Josi', 'PSD', 5556]
['Jownathan da Saúde', 'PMN', 3353]
['Juarez da Internet', 'PMB', 3517]
['Juarez Domingos', 'PSC', 2033]
['Juarez Juvêncio', 'Podemos', 1975]
['Juca Bala', 'DC', 2700]
['Juiz Wilson Lima', 'PSB', 4046]
['Juju Ferrari', 'Avante', 7087]
['Jules Saraiva', 'PCB', 2133]
['Juliana', 'União', 4414]
['Juliana Cardoso', 'PT', 1333]
['Juliane Gallo', 'MDB', 1519]
['Juliano da Campestre', 'Patriota', 5110]
['Juliano Kochi', 'AGIR', 3686]
['Julio Ferraz', 'PV', 4300]
['Julio Garcia da Prata FM', 'Podemos', 1914]
['Julio Moraes', 'PSB', 4087]
['Júlio Saldanha', 'Novo', 3066]
['Junior Bill', 'Republicanos', 1026]
['Júnior Bozzella', 'União', 4470]
['Junior Orosco', 'União', 4445]
['Juracy de Jesus (Jura)', 'AGIR', 3611]
['Jurandyr Alencar', 'PTB', 1411]
['Jussara Moro', 'PP', 1142]
['Justiceira Gabriela Manssur', 'MDB', 1522]
['Kaled Malat', 'PSD', 5527]
['Kamila Garcia', 'Patriota', 5199]
['Karina Soltur', 'PSD', 5533]
['Karla Alves', 'MDB', 1547]
['Kathê do Forte', 'PMB', 3544]
['Katy Costa', 'PSB', 4027]
['Kauê da Gente', 'MDB', 1555]
['Keiko Ota', 'MDB', 1596]
['Kelly Freymann', 'AGIR', 3677]
['Kerllyn Oliveira', 'PT', 1325]
['Kid Bengala', 'União', 4469]
['Kiko Beloni', 'PSC', 2030]
['Kiko Celeguim', 'PT', 1301]
['Kiko Chourik', 'PP', 1168]
['Kim Kataguiri', 'União', 4433]
['Kinho Brito', 'União', 4423]
['Kinho da Estrada', 'PP', 1165]
['Koyu Iha', 'Solidariedade', 7718]
['Lair Moura', 'União', 4430]
['Larissa Análio', 'MDB', 1557]
['Lau Sartoratto', 'PRTB', 2841]
['Léa Picelli', 'DC', 2731]
['Lea Sales Cunha', 'PMB', 3527]
['Leandro Dourado', 'PDT', 1244]
['Leandro Guerreiro', 'Patriota', 5102]
['Leandro Paggiaro', 'PCO', 2901]
['Leandro Ruivo', 'PRTB', 2863]
['Leandro Veronez', 'PRTB', 2891]
['Leilson Castro', 'PRTB', 2899]
['Lene Andrade', 'PP', 1146]
['Lenynha', 'PSC', 2061]
['Léo Aquilla', 'MDB', 1501]
['Leo Pleno', 'PRTB', 2882]
['Leone', 'PSD', 5575]
['Leonice Leoncia', 'Republicanos', 1047]
['Leonilde Sena Hina', 'AGIR', 3603]
['Levi', 'Podemos', 1966]
['Levy Fidelix Filho', 'PRTB', 2828]
['Lia Ganzarolli', 'AGIR', 3644]
['Lidiane Rocha', 'MDB', 1514]
['Ligia Muaythai', 'União', 4421]
['Lila Carvalho', 'AGIR', 3633]
['Lili', 'PT', 1323]
['Lilian Mansur', 'Novo', 3017]
['Lilian Trovão', 'PL', 2217]
['Liliane Ventura', 'PL', 2269]
['Lima', 'Cidadania', 2310]
['Lincoln Fernandes', 'PDT', 1221]
['Lisboa', 'PL', 2226]
['Lisia Sakai', 'PCO', 2900]
['Litholdo', 'PROS', 9012]
['Loreny', 'Solidariedade', 7791]
['Lourivaldo Delfino', 'Patriota', 5160]
['Luana Tavares', 'PSD', 5561]
['Luana Trindade', 'Avante', 7019]
['Lucas Sanches', 'PP', 1188]
['Lucia Secoti', 'Rede', 1890]
['Luciana Castellan', 'PTB', 1402]
['Luciana Cunha', 'Patriota', 5103]
['Luciana Inclusão', 'PSB', 4011]
['Luciana Silva', 'Republicanos', 1024]
['Luciana Valentim', 'Patriota', 5174]
['Luciano 30 Horas', 'MDB', 1570]
['Luciano Mega', 'Avante', 7016]
['Luciano Moura', 'PDT', 1276]
['Luciano Nassar', 'AGIR', 3659]
['Luciano Rox', 'Solidariedade', 7775]
['Luciene Cavalcante', 'PSOL', 5089]
['Luciene Diretora', 'PT', 1391]
['Lucio Dias', 'PTB', 1419]
['Lucy Dias', 'PSOL', 5020]
['Luis Miranda', 'Republicanos', 1020]
['Luis Rosas', 'PROS', 9045]
['Luis Vieira', 'PSD', 5536]
['Luiz Arraes', 'Solidariedade', 7727]
['Luiz Felipe', 'PDT', 1281]
['Luiz Lauro', 'MDB', 1532]
['Luiz Marinho', 'PT', 1355]
['Luiz Meladinho', 'AGIR', 3615]
['Luiz Otavio', 'MDB', 1554]
['Luiz Philippe de O Brangança', 'PL', 2243]
['Luiz Proteção Animal', 'Podemos', 1996]
['Luiz Teixeira', 'PTB', 1405]
['Luiz Zacarias', 'PL', 2232]
['Luiza Erundina', 'PSOL', 5021]
['Luiza Polydoro', 'PTB', 1421]
['Macario', 'PDT', 1204]
['Macarrão', 'PT', 1326]
['Machado', 'PT', 1309]
['Madalena de Laura', 'PSC', 2008]
['Maicon Vinícius', 'MDB', 1507]
['Maisa Diniz', 'Rede', 1888]
['Major Vitor Santos', 'Patriota', 5122]
['Major Barreto', 'PROS', 9077]
['Major Costa e Silva', 'Republicanos', 1077]
['Major Sergio', 'Republicanos', 1019]
['Malu Parisi', 'Avante', 7067]
['Malusilva', 'Podemos', 1937]
['Mané Palomino', 'PP', 1180]
['Manoel David Korn de Carvalho', 'União', 4418]
['Maquita', 'PRTB', 2809]
['Mara Garcia', 'PRTB', 2832]
['Maraisa Tannure', 'PROS', 9035]
['Marcão da Ema', 'PMB', 3503]
['Marcão do Povo', 'PTB', 1446]
['Marcel Brasil', 'DC', 2737]
['Marcela Norá Veterinária', 'União', 4401]
['Marcelão do Povo', 'MDB', 1566]
['Marcelinho', 'PP', 1105]
['Marcello Bezerra', 'PSB', 4007]
['Marcello Pablito', 'PSTU', 1655]
['Marcelo Brás do Sacolão', 'PSDB', 4522]
['Marcelo Despachante', 'Republicanos', 1096]
['Marcelo Hercolin', 'União', 4450]
['Marcelo King', 'PSC', 2073]
['Marcelo Lima', 'Solidariedade', 7780]
['Marcelo Mercau', 'PROS', 9080]
['Marcelo Ortega', 'Podemos', 1990]
['Marcelo Rodrigues', 'Patriota', 5118]
['Marcelo Rossi', 'PTB', 1468]
['Marcelo Rubi', 'PRTB', 2851]
['Marcia', 'DC', 2745]
['Marcia Bueno', 'PTB', 1457]
['Marcia Para', 'PTB', 1427]
['Márcia Rebeschini', 'PV', 4377]
['Márcia Rocha', 'Cidadania', 2324]
['Marcia Valeria', 'Patriota', 5167]
['Marciano', 'PROS', 9001]
['Marcilio Duarte', 'PTB', 1447]
['Marcinho Buchecha', 'PSOL', 5017]
['Marcinho da Aciu', 'MDB', 1552]
['Marcio Alvino', 'PL', 2299]
['Marcio Cecchettini', 'PSDB', 4519]
['Marcio Larranhaga', 'PSC', 2024]
['Marcio Rodrigues', 'Podemos', 1970]
['Marcionilio Camargo', 'PRTB', 2836]
['Marco Antonio Pinto', 'Novo', 3021]
['Marco Bertaiolli', 'PSD', 5500]
['Marco Dipreto', 'Rede', 1855]
['Marco Fontebasso', 'PROS', 9051]
['Marcos da Costa', 'Avante', 7000]
['Marcos Gabriel', 'AGIR', 3685]
['Marcos Guerra', 'União', 4490]
['Marcos Lucas', 'Novo', 3032]
['Marcos Marreta', 'PSDB', 4521]
['Marcos Oliveira', 'PRTB', 2844]
['Marcos Palermo', 'MDB', 1505]
['Marcos Papa', 'Podemos', 1916]
['Marcos Pereira', 'Republicanos', 1010]
['Marcos Saraiva', 'MDB', 1537]
['Marcus Dantas', 'Podemos', 1997]
['Margarete Reis', 'PL', 2237]
['Mari Tavelli', 'Solidariedade', 7740]
['Maria Costa', 'Podemos', 1913]
['Maria Eli Fernandes', 'PSOL', 5040]
['Maria Elizangela Zanza', 'PMN', 3325]
['Maria Giovana', 'PDT', 1212]
['Maria Joaquina', 'PDT', 1275]
['Maria Jose', 'PTB', 1426]
['Maria José Cunha', 'PROS', 9083]
['Maria Lúcia Bressane', 'Avante', 7095]
['Maria Martins', 'PTB', 1494]
['Maria Rosas', 'Republicanos', 1022]
['Mariana Fragoso', 'PSTU', 1612]
['Mariana Janeiro Chapadaspretas', 'PT', 1366]
['Mariana Papaiz', 'PROS', 9042]
['Marilza Rufino', 'Novo', 3067]
['Marina Correia', 'PSDB', 4546]
['Marina Helena', 'Novo', 3001]
['Marina Silva', 'Rede', 1818]
['Marinho do Jornal', 'Solidariedade', 7756]
['Marinho MB', 'PSB', 4073]
['Mário Covas', 'Podemos', 1999]
["Mario D\'Andrea", 'Rede', 1844]
['Mario Frias', 'PL', 2208]
['Mario Lopes', 'AGIR', 3688]
['Maristela Machado', 'DC', 2718]
['Marks Pintija', 'Rede', 1881]
['Marlene Ramos', 'Patriota', 5178]
['Marli Gomes', 'Novo', 3088]
['Marlon do Uber', 'MDB', 1565]
['Marschelo Meche', 'PL', 2276]
['Marta Dias', 'PDT', 1269]
['Marta Fox', 'Avante', 7006]
['Marta Lima', 'PROS', 9003]
['Marta Sobral Coletivo Esporte', 'PT', 1311]
['Martha Ishida', 'PROS', 9005]
['Martinho Colpani', 'PL', 2287]
['Mary Franco', 'PMB', 3522]
['Massucato', 'Patriota', 5107]
['Mateus Moro', 'PT', 1350]
['Matheus Garcia', 'PROS', 9007]
['Matheus Mafepi', 'PL', 2202]
['Mauricinho Chinaglia', 'Solidariedade', 7790]
['Mauricio Cardoso', 'DC', 2738]
['Mauricio Neves', 'PP', 1100]
['Maurício Rappa', 'Novo', 3020]
['Mauren Maggi', 'Republicanos', 1080]
['Max Marianek', 'PCB', 2101]
['Max Rodrigues', 'Solidariedade', 7747]
['Mayra Miranda', 'União', 4426]
['Meo', 'DC', 2734]
['Mestre Dejair Canibal', 'PDT', 1272]
['Mestre Paraíso', 'PRTB', 2885]
['Mestre Tico', 'MDB', 1517]
['Mestre Xandão', 'União', 4419]
['Michel Figueredo', 'Patriota', 5119]
['Michelli Paixão', 'PP', 1113]
['Miguel Gomes', 'PMN', 3365]
['Miguel Lombardi', 'PL', 2277]
['Milton Monti', 'PSD', 5599]
['Milton Vieira', 'Republicanos', 1055]
['Mirah Barreto', 'PROS', 9017]
['Miro Sutério', 'Solidariedade', 7741]
['Mirtes Lopes', 'AGIR', 3697]
['Missionária Elimara Loterio', 'PMN', 3350]
['Missionário José Mauro', 'PMN', 3367]
['Missionário José Olímpio', 'PL', 2241]
['Moacyr Fernandes', 'AGIR', 3610]
['Moises Patria e Defesa', 'PTB', 1406]
['Mônica Buava Mandato Animal', 'PV', 4366]
['Monica Calazans', 'PSDB', 4530]
['Monica Nega', 'PSC', 2004]
['Monica Rosenberg', 'Novo', 3077]
['Mônica Sontini', 'PSC', 2025]
['Mônica Veloso', 'PDT', 1255]
['Monyke Brasil', 'DC', 2711]
['Mori Yamashita', 'PP', 1108]
['Mortadela', 'Podemos', 1903]
['Motta', 'PL', 2244]
['Munir Wahhab', 'PTB', 1420]
['Murilo Coghi', 'União', 4409]
['Nalva Lima', 'PDT', 1236]
['Nando Pinheiro', 'PL', 2223]
['Nany', 'União', 4443]
['Naomi Yamaguchi', 'PROS', 9021]
['Natália Massi', 'Avante', 7072]
['Natanael de Paulo', 'AGIR', 3670]
['Nay Bernardes', 'PROS', 9039]
['Nazaré Braga', 'PSB', 4078]
['Nefi Tales Filho', 'PTB', 1434]
['Nega', 'Patriota', 5104]
['Nego Jackson', 'Patriota', 5147]
['Nei Correia', 'PMN', 3301]
['Neia Costa', 'PDT', 1209]
['Neia Mello', 'AGIR', 3660]
['Neidoca de Heliópolis', 'União', 4416]
['Nemias Moreira', 'PMB', 3512]
['Nene Cera', 'PP', 1155]
['Nenê Noivas', 'PSC', 2036]
['Néria Buzatto', 'União', 4442]
['Neu', 'PROS', 9020]
['Neusinha Perino', 'PROS', 9004]
['Nezio Monteiro', 'PROS', 9000]
['Nilson Bonome', 'União', 4452]
['Nilson da Churrascaria', 'PSC', 2078]
['Nilto Tatto', 'PT', 1353]
['Nilza Nogueira', 'PROS', 9046]
['Nino Mengatti', 'PSB', 4048]
['Noilton Ramos', 'Patriota', 5130]
['Norma Otani', 'Avante', 7001]
['Normandy Pantera Negra', 'PSB', 4043]
['O Atalaia', 'PRTB', 2807]
['O Wartão', 'PSB', 4025]
['Odécio Braga', 'União', 4449]
['Odilia Sousa', 'PSC', 2016]
['Odilon Viana', 'DC', 2712]
['Oliveira', 'AGIR', 3640]
['Orlando Galati', 'PTB', 1488]
['Orlando Moreira', 'PSC', 2093]
['Orlando SIlva', 'PC do B', 6565]
['Orlando Vitoriano', 'PT', 1312]
['Osmar Della Paschoa', 'PMB', 3550]
['Padre Afonso Lobato', 'Podemos', 1951]
['Pai Airton', 'PP', 1128]
['Paiva', 'Solidariedade', 7734]
['Paiva Farias', 'PDT', 1202]
['Paolillo', 'PROS', 9028]
['Pastor Abraao', 'PRTB', 2803]
['Pastor Amaro', 'PMN', 3357]
['Pastor Geraldo', 'PSC', 2011]
['Pastor Joaquim O Caminhoneiro', 'PSC', 2006]
['Pastor José Ribeiro', 'PROS', 9067]
['Pastor Marcel', 'MDB', 1523]
['Pastor Marcelo Candido', 'PSC', 2077]
['Pastor Marco Feliciano', 'PL', 2270]
['Pastor Paulo Lima', 'MDB', 1504]
['Pastor Paulo Marcelo', 'Solidariedade', 7713]
['Pastor Ricardo Braga', 'Podemos', 1939]
['Pastor Ricardo Saibro', 'União', 4471]
['Pastor Robson Oliveira', 'PSC', 2057]
['Pastor Ronaldo Resende', 'Avante', 7031]
['Pastora Ana Bolsonaro', 'PL', 2272]
['Pastora Cida Tutia', 'PMN', 3312]
['Pastora Dagmar', 'AGIR', 3674]
['Patricia Borges', 'PL', 2201]
['Patricia de Santos', 'Patriota', 5135]
['Patricia Mora', 'PMN', 3328]
['Patricia Vedrano', 'PV', 4310]
['Patricia Zanella', 'Rede', 1822]
['Paula Barros', 'DC', 2727]
['Paula Brum', 'PP', 1177]
['Paula Tosin', 'PSC', 2079]
['Paulão Cayres', 'PT', 1365]
['Paulinha da Saúde', 'PSC', 2014]
['Paulinho da Força', 'Solidariedade', 7777]
['Paulinho do Mercado', 'União', 4405]
['Paulinho do Novo', 'Novo', 3026]
['Paullo Vieira', 'Podemos', 1985]
['Paulo Abreu', 'PMN', 3344]
['Paulo Alexandre Barbosa', 'PSDB', 4533]
['Paulo Ataíde O Rasta', 'PMN', 3320]
['Paulo Bezerra', 'PCO', 2969]
['Paulo Campos', 'Podemos', 1922]
['Paulo Cezar Advogado', 'Avante', 7076]
['Paulo Eduardo', 'AGIR', 3664]
['Paulo Freire da Costa', 'PL', 2233]
['Paulo Guilhermino', 'PMB', 3588]
['Paulo Luccas', 'PSC', 2066]
['Paulo Proieti', 'Novo', 3037]
['Paulo Soares Jornalista', 'Podemos', 1915]
['Paulo Teixeira', 'PT', 1398]
['Pedrinho do Gás', 'PDT', 1213]
['Pedro Tedde', 'Novo', 3060]
['Pedro Tourinho', 'PT', 1319]
['Pedro Vader', 'PSD', 5543]
['Pedro Vaz de Lima', 'Novo', 3045]
['Pepo Lepinsk', 'MDB', 1577]
['Pereirinha José Adilson', 'PSC', 2090]
['Peressim', 'Patriota', 5156]
['Piauilino', 'PV', 4355]
['Piero', 'PRTB', 2811]
['Pio Pagano', 'Republicanos', 1027]
['Policial Cristiane', 'PL', 2228]
['Policial Edjane', 'PROS', 9090]
['Policial Katia Sastre', 'PL', 2240]
['Policial Penal Renato Cruz', 'Solidariedade', 7710]
['Pollyana Gama', 'Cidadania', 2351]
['Pop', 'PSC', 2086]
['PR Edmilson Santos', 'Avante', 7005]
['PR Emerson Santos', 'Republicanos', 1017]
['PR Nivaldo da Pedalada', 'Republicanos', 1089]
['PR Paulinho Aleluia', 'PSC', 2083]
['PRA Cláudia Nerys', 'PSC', 2046]
['Preta', 'PSB', 4003]
['Priante', 'PTB', 1455]
['Primo Mais Novo', 'Novo', 3074]
['Priscila Souza Mand Coletivo', 'Podemos', 1906]
['Priscilla Gaspar', 'PSC', 2005]
['Priscilla Holanda', 'PRTB', 2810]
['Prof Ana Negrão', 'Novo', 3044]
['Prof Conceição', 'Avante', 7095]
['Prof de Jiu Jtsu Odair Jesus', 'Avante', 7073]
['Prof Fátima Magalhães', 'Avante', 7035]
['Prof Jacqueline Prôjacque', 'Avante', 7028]
['Prof José Luiz Silveira', 'PSC', 2037]
['Prof Paula Aparecida', 'PSOL', 5099]
['Prof Renato', 'PCB', 2122]
['Prof Rodney Vicente', 'MDB', 1531]
['Prof Wagner Barbosa', 'Avante', 7060]
['Prof Walter Vicioni', 'MDB', 1510]
['Prof Campanatti', 'AGIR', 3622]
['Prof Jandira', 'União', 4475]
['Prof Marco Antonio Villa', 'Cidadania', 2300]
['Prof Paulo Borges (Violaro)', 'Novo', 3075]
['Prof Rizzo', 'Solidariedade', 7785]
['Prof Sanderson Ribeiro', 'PRTB', 2814]
['Prof Romulo Senna', 'AGIR', 3667]
['Profª Luciane Cambuim', 'AGIR', 3624]
['Professor Adelino', 'PT', 1315]
['Professor André', 'Novo', 3098]
['Professor Bega', 'PL', 2245]
['Professor Cleiton', 'PSB', 4005]
['Professor Deiverson Amarante', 'PROS', 9013]
['Professor Douglas Izzo', 'PT', 1308]
['Professor Edevaldo', 'Rede', 1807]
['Professor Fernando', 'Solidariedade', 7770]
['Professor HOC, Heni Ozi Cukier', 'Podemos', 1911]
['Professor Jefferson Ripi', 'PROS', 9049]
['Professor Juvenal', 'PT', 1347]
['Professor Leonardo Alex', 'PP', 1135]
['Professor Luciano Silva', 'Podemos', 1909]
['Professor Luzimar', 'PSB', 4041]
['Professor Marcos Vargas', 'PP', 1178]
['Professor Osvaldo', 'PTB', 1452]
['Professor Reinaldo', 'PT', 1332]
['Professor Ricardo Carvalho', 'PSOL', 5090]
['Professor Roberto de Paula', 'AGIR', 3638]
['Professor Ronan Goulart', 'Solidariedade', 7744]
['Professor Silvio Nivaldo', 'Avante', 7017]
['Professor Tiago Lira', 'Patriota', 5131]
['Professora Ana Alice', 'Podemos', 1918]
['Professora Berta', 'PL', 2279]
['Professora Catia Abreu', 'PL', 2262]
['Professora Daise', 'PTB', 1424]
['Professora Grabriela', 'PSTU', 1602]
['Professora Kátia Oliveira', 'PT', 1385]
['Professora Laine Daniel', 'Solidariedade', 7712]
['Professora Maria Célia', 'Podemos', 1901]
['Professora Noemi Machado', 'PROS', 9073]
['Professora Paula', 'Patriota', 5164]
['Professora Rachel', 'PROS', 9008]
['Professora Sula', 'MDB', 1548]
['Professora Tereza', 'PSB', 4042]
['Professora Vera', 'PSDB', 4578]
['Promotor Marcos Lelis', 'Avante', 7004]
['Rafael Abud', 'Patriota', 5149]
['Rafael dos Anjos', 'Novo', 3047]
['Rafael Labiapari', 'Patriota', 5191]
['Rafael Putovisky', 'PDT', 1299]
['Rafael Valentim', 'PTB', 1403]
['Raimundo Nonato', 'PRTB', 2826]
['Raulf Naure', 'PV', 4388]
['Ramiro dos Caminhoneiros', 'PL', 2225]
['Ramos', 'AGIR', 3600]
['Raquel Vieira', 'União', 4453]
['Raul Pró Guarulhos', 'PSOL', 5001]
['Rebeca Gade', 'Republicanos', 1079]
['Regina Enfermeira', 'PSDB', 4550]
['Regina Ferreira', 'PDT', 1207]
['Regina Gonçalves', 'PV', 4343]
['Regina Silva', 'PROS', 9036]
['Reginaldo Sena', 'Solidariedade', 7772]
['Reinaldo Alguz', 'União', 4436]
['Reinaldo Monteiro', 'União', 4427]
['Reinaldo Mota', 'Patriota', 5116]
['Reinaldo Uber', 'PMN', 3399]
['Renan Godinho', 'Podemos', 1907]
['Renata Abreu', 'Podemos', 1919]
['Renata Banhara', 'Republicanos', 1084]
['Renata Mello Pokas', 'Podemos', 1992]
['Renata Ribeiro', 'PRTB', 2839]
['Renata Simonetti', 'Republicanos', 1006]
['Renatinho Se Ligue', 'PSB', 4023]
['Renato Bancada Anticapitalista', 'PSTU', 1611]
['Renato Bicudo', 'Novo', 3058]
['Renato Dissei', 'PP', 1160]
['Renato Donato', 'PSB', 4034]
['Renato Paiva', 'PSD', 5559]
['Renato Tamaio', 'PTB', 1470]
['Renato Taroco', 'Republicanos', 1005]
['Rene do Rap', 'AGIR', 3656]
['Reverendo José Góes', 'Patriota', 5112]
['Ribamar Silva', 'PSD', 5519]
['Ricardo Andrade', 'AGIR', 3671]
['Ricardo Datena', 'PROS', 9031]
['Ricardo Duregger', 'PROS', 9019]
['Ricardo Fássio', 'AGIR', 3613]
['Ricardo Galvão', 'Rede', 1877]
['Ricardo Holz', 'Podemos', 1978]
['Ricardo Izar Junior', 'Republicanos', 1011]
['Ricardo Kanaan', 'MDB', 1643]
['Ricardo Melenchon Viva Verde', 'PV', 4334]
['Ricardo Mutran', 'PP', 1124]
['Ricardo Ramos', 'Novo', 3090]
['Ricardo Salles', 'PL', 2250]
['Ricardo Silva', 'PSD', 5512]
['Ricardo Tripoli', 'PSDB', 4565]
['Ricardo Trovão', 'PMB', 3531]
['Richard de Rosa', 'PSDB', 4501]
['Rita Guedes', 'PL', 2236]
['Rita Passos', 'Republicanos', 1044]
['Riva', 'PCO', 2979]
['Rô Camolese', 'PSDB', 4577]
['Ro Cardoso', 'PMB', 3540]
['Roberta Gaspar', 'PTB', 1483]
['Roberta Kelly', 'DC', 2713]
['Robertinho do Óculos', 'Cidadania', 2333]
['Roberto Alves', 'Republicanos', 1078]
['Roberto Brasil', 'Podemos', 1969]
['Roberto de Lucena', 'Republicanos', 1099]
['Roberto Pires', 'Republicanos', 1056]
['Roberto Rufca', 'MDB', 1545]
['Robson Lima', 'AGIR', 3668]
['Robson Pentecoste', 'AGIR', 3617]
['Robson Santos', 'Solidariedade', 7779]
['Robson Silvério', 'PSOL', 5066]
['Rochinha', 'Patriota', 5150]
['Rodolfo Despachante', 'PSC', 2080]
['Rodrigão dos Travessos', 'AGIR', 3602]
['Rodrigo Agostinho', 'PSB', 4015]
['Rodrigo Andolfato', 'PTB', 1423]
['Redrigo AP', 'PSB', 4057]
['Rodrigo Gambale', 'Podemos', 1977]
