['Nome', 'Partido', 'Número']
['Bruxellas', 'PT', 1340]
['Cabelo', 'PMN', 3346]
['Cabo Barbosa', 'União', 4447]
['Cabo Chiquinho', 'Avante', 7023]
['Cabo Fausto Ramalho', 'Republicanos', 1097]
['Cabo Gil Marques', 'Avante', 7027]
['Cabo Rossi', 'PSB', 4090]
['Cabo Samuel', 'PP', 1107]
['Cacique Adolfo Mandata Raízes', 'Rede', 1810]
['Café Pipas', 'PROS', 9010]
['Caio Bianchi', 'Novo', 3006]
['Caio Santos', 'União', 4441]
['Caio Spina', 'PMN', 3300]
['Cal Nogaroto', 'Podemos', 1940]
['Camilo Gava', 'PTB', 1440]
['Camilo Terra', 'PCB', 2155]
['Cantora Eliane Camargo', 'Avante', 7049]
['Capitã Médica Juliana', 'PTB', 1490]
['Capitão Augusto', 'PL', 2200]
['Capitão Derrite', 'PL', 2290]
['Capitão Elias Bonfim', 'Republicanos', 1066]
['Capitão Moser', 'PRTB', 2818]
['Capitão Silva Rosa', 'Avante', 7012]
['Capitão Souza', 'PL', 2212]
['Carina Carneiro', 'PP', 1126]
['Carla Flores', 'MDB', 1503]
['Carla Guidini', 'PSDB', 4558]
['Carla Zambelli', 'PL', 2210]
['Carlão da Proteção', 'Patriota', 5105]
['Carlinhos Cantelli', 'AGIR', 3680]
['Carlinhos Negão', 'DC', 2714]
['Carlo Cauti', 'Novo', 3025]
['Carlos Augusto Lessa', 'DC', 2783]
['Carlos Dardé', 'AGIR', 3653]
['Carlos Pires', 'PSB', 4068]
['Carlos Roberto', 'AGIR', 3636]
['Carlos Sampaio', 'PSDB', 4500]
['Carlos Trombini', 'Republicanos', 1051]
['Carlos Zarattini', 'PT', 1370]
['Carol Cerqueira', 'União', 4478]
['Cássio Gallo', 'Patriota', 4478]
['Castelo Alemão', 'Patriota', 5108]
['CB Samuel Paes', 'PP', 1189]
['Ceara', 'União', 4402]
['Celi Regina', 'PT', 1331]
['Célia', 'DC', 2780]
['Célia Ramos', 'PSD', 5520]
['Celso Henrique', 'Novo', 3016]
['Celso Pereira', 'PMB', 3525]
['Celso Russomano', 'Republicanos', 1000]
['Cesar do Canoa', 'PSDB', 456]
['Cesar Max', 'Novo', 3040]
['Cesar Renato', 'DC', 2796]
['Cezinha de Madureira', 'PSD', 5577]
['Chamon', 'PSC', 2031]
['Charles Veiyga', 'PSC', 2023]
['Chicao da Bancada Trabalhista', 'Solidariedade', 7778]
['Chico do Settaport', 'PT', 1377]
['Chiquinho dos Padeiros', 'PSB', 4077]
['Chocolate', 'Podemos', 1982]
['Chorão Caminhoneiro', 'PSD', 5567]
['Christy Muniz', 'PCB', 2112]
['Chuks', 'PSDB', 4511]
['Cibele Botelho', 'PSB', 4052]
['Cibele Franco', 'Novo', 3015]
['Cicero Investigador', 'Republicanos', 1016]
['Cicero Perueiro', 'AGIR', 3662]
['Cicinho', 'PSB', 4001]
['Cida Alcântara', 'PSD', 5524]
['Cida Barreto', 'PL', 2254]
['Cida Costa', 'PSDB', 4504]
['Cida Faustino', 'PSOL', 5051]
['Cidinha Firmino', 'Republicanos', 1034]
['Cidinha Raiz', 'PSD', 5507]
['Cido Barboza', 'Podemos', 1955]
['Cido Saraiva', 'MDB', 1558]
['Cintia Ramos', 'MDB', 1595]
['Clal Almeida', 'PTB', 1443]
['Claudete Alves', 'PT', 1388]
['Claudia Carletto', 'PSDB', 4517]
['Claudia Castadelli', 'Republicanos', 1004]
['Claudia Grande', 'PSD', 5560]
['Claudia Leal', 'Patriota', 5159]
['Cláudia P Caldas', 'PP', 1136]
['Claudia SIqueira', 'AGIR', 3632]
['Claudinei da Rocha', 'MDB', 1542]
['Claudinha da Lan House', 'PDT', 1224]
['Claudio Donizete', 'PSTU', 1600]
['Claudio Freitas', 'Solidariedade', 7797]
['Claudio Gaspar', 'Rede', 1819]
['Claudio Itaverá', 'PT', 1393]
['Claudio Jacaré', 'Solidariedade', 7720]
['Claudio Machado', 'PSOL', 5063]
['Claudio Paranhos', 'AGIR', 3620]
['Cleber Araújo Prof', 'Podemos', 1973]
['Cleber Gaucho', 'PP', 1157]
['Cleber Jacob', 'PSD', 5513]
['Cleide dos Anjos da Limpeza', 'Podemos', 1954]
['Clenilza Panato', 'PCO', 2939]
['Cleomenes Junior', 'Avante', 7066]
['Cleusa Ramos Zerbini', 'MDB', 1578]
['Cleuza Bordin', 'Solidariedade', 7737]
['Cloves Alves Camelo', 'PDT', 1290]
['Clovis Coletivo Transparência', 'Avante', 7080]
['Coletivo Nossa Vez Giselda', 'Avante', 7047]
['Comandante Bolivar', 'PTB', 1474]
['Contador Baracho', 'PSC', 2062]
['Coringa Reaça', 'PRTB', 2855]
['Coronel Castro', 'Patriota', 5188]
['Coronel Costa', 'Patriota', 5170]
['Coronel Dulcinéia', 'PL', 2219]
['Coronel Edgard Gaspar', 'Republicanos', 1038]
['Coronel Homero', 'PROS', 9099]
['Coronel Magalhães', 'PTB', 1404]
['Coronel Mario Filho', 'PDT', 1227]
['Coronel Nilson Jespersen', 'PTB', 1428]
['Coronel Nishikawa', 'PL', 2214]
['Coronel Nusque', 'PTB', 1450]
['Coronel Paulo Ribeiro', 'PSB', 4008]
['Coronel Prado', 'PTB', 1441]
['Coronel Quintino', 'Republicanos', 1021]
['Coronel Roberto Alves', 'DC', 2722]
['Coronel Rony', 'PP', 1170]
['Coronel Stanelis', 'Podemos', 1964]
['Coronel Tadeu', 'PL', 2230]
['Coronel Telhada', 'PP', 1190]
['Coronel Tomasella', 'PSC', 2064]
['Cosme Félix', 'Avante', 7009]
['Cris Abreu', 'Podemos', 1979]
['Cris Brasil', 'PTB', 1444]
['Cris Costa', 'PSC', 2081]
['Cris Forssell', 'Podemos', 1989]
['Cris Pinheiro', 'Republicanos', 1035]
['Cris Rohrbacher', 'Avante', 7026]
['Cristiane Ferreira', 'PL', 2209]
['Cristiano Beraldo', 'União', 4488]
['Cristiano Salmeirão', 'Solidariedade', 7723]
['Cristina do Pereca', 'PP', 1132]
['Daiane Mello', 'PP', 1147]
['Dalvan', 'PROS', 9095]
['Damião Gomes', 'PSB', 4032]
['Dani Luci', 'PSDB', 4570]
['Daniel Ativista', 'PTB', 1408]
['Daniel Augusto Cury', 'PSB', 4089]
['Daniel Belchior Santana', 'PROS', 9070]
['Daniel Camilo', 'Republicanos', 1001]
['Daniel Faria', 'MDB', 1516]
['Daniel José', 'Podemos', 1920]
['Daniel Motta', 'Republicanos', 1015]
['Daniel Munduruku', 'PDT', 1219]
['Daniel Octacílio', 'PMN', 3393]
['Daniel Vieira', 'PSC', 2099]
['Daniela Curiati', 'PSB', 4014]
['Daniele Marques', 'PRTB', 2845]
['Danila Azevedo', 'PTB', 1410]
['Danilo da Cunha', 'Novo', 3068]
['Danilo Morgado', 'Solidariedade', 7722]
['Danilo Ramos', 'PL', 2220]
['Danilo Rezende', 'Novo', 3011]
['Danutta Rossetto', 'Republicanos', 1032]
['Dany da Defesa Animal', 'PSB', 4030]
['David Bueno', 'Solidariedade', 7700]
['David Caldas', 'PTB', 1413]
['David Cardoso', 'PL', 2256]
['David Soares', 'União', 4411]
['Dayane Andrade', 'AGIR', 3684]
['De Carlos', 'DC', 2708]
['Debora Cabral', 'Republicanos', 1088]
['Débora Chantre', 'Podemos', 1908]
['Debora Justino', 'União', 4474]
['Deborah Resek Missionária', 'AGIR', 3647]
['Decio Clemente', 'PROS', 9075]
['Defensor Junior Sousa', 'Solidariedade', 7714]
